Reference Number,Included?,Authors,Article Title,Source Title,Publication Year,Volume,Page/Article Number,DOI
2237,N,"Meng, F. -R.; Li, Y. -C.; Yin, J.; Liu, H.; Chen, X. -J.; Ni, Z. -F.; Sun, Q. -X.",Analysis of DNA methylation during the germination of wheat seeds,BIOLOGIA PLANTARUM,2012,56,269-275,10.1007/s10535-012-0086-2
2238,N,"Merkling, Sarah H.; Bronkhorst, Alfred W.; Kramer, Jamie M.; Overheul, Gijs J.; Schenck, Annette; Van Rij, Ronald P.",The Epigenetic Regulator G9a Mediates Tolerance to RNA Virus Infection in Drosophila,PLOS PATHOGENS,2015,11,e1004692,10.1371/journal.ppat.1004692
2239,N,"Messeguer, R; Ganal, MW; Steffens, JC; Tanksley, SD","Characterization of the level, target sites and inheritance of cytosine methylation in tomato nuclear-DNA",PLANT MOLECULAR BIOLOGY,1991,16,753-770,10.1007/BF00015069
2240,N,"Metzger, David C. H.; Schulte, Patricia M.",Epigenomics in marine fishes,MARINE GENOMICS,2016,30,43-54,10.1016/j.margen.2016.01.004
2241,N,"Miao, Zhenyan; Zhang, Ting; Qi, Yuhong; Song, Jie; Han, Zhaoxue; Ma, Chuang",Evolution of the RNA N-6-Methyladenosine Methylome Mediated by Genomic Duplication,PLANT PHYSIOLOGY,2020,182,345-360,10.1104/pp.19.00323
2242,N,"Mira, Sara; Pirredda, Michela; Martin-Sanchez, Marcos; Marchessi, Jesus E.; Martin, Carmen",DNA methylation and integrity in aged seeds and regenerated plants,SEED SCIENCE RESEARCH,2020,30,PII S0960258520000021,10.1017/S0960258520000021
2243,N,"Mitaka, Yuki; Tasaki, Eisuke; Nozaki, Tomonari; Fuchikawa, Taro; Kobayashi, Kazuya; Matsuura, Kenji",Transcriptomic analysis of epigenetic modification genes in the termite Reticulitermes speratus,INSECT SCIENCE,2020,27,202-211,10.1111/1744-7917.12640
2244,N,"Morris, SA; Shibata, Y; Noma, K; Tsukamoto, Y; Warren, E; Temple, B; Grewal, SIS; Strahl, BD",Histone H3K36 methylation is associated with transcription elongation in Schizosaccharomyces pombe,EUKARYOTIC CELL,2005,4,1446-1454,10.1128/EC.4.8.1446-1454.2005
2246,N,"Muyle, Aline; Seymour, Danelle; Darzentas, Nikos; Primetis, Elias; Gaut, Brandon S.; Bousios, Alexandros",Gene capture by transposable elements leads to epigenetic conflict in maize,MOLECULAR PLANT,2021,14,237-252,10.1016/j.molp.2020.11.003
2247,N,"N'Diaye, Amidou; Byrns, Brook; Cory, Aron T.; Nilsen, Kirby T.; Walkowiak, Sean; Sharpe, Andrew; Robinson, Stephen J.; Pozniak, Curtis J.",Machine learning analyses of methylation profiles uncovers tissue-specific gene expression patterns in wheat,PLANT GENOME,2020,13,e20027,10.1002/tpg2.20027
2248,N,"Naumova, Oxana Yu.; Dozier, Mary; Dobrynin, Pavel V.; Grigorev, Kirill; Wallin, Allison; Jeltova, Ida; Lee, Maria; Raefski, Adam; Grigorenko, Elena L.",Developmental dynamics of the epigenome: A longitudinal study of three toddlers,NEUROTOXICOLOGY AND TERATOLOGY,2018,66,125-131,10.1016/j.ntt.2017.12.006
2249,Y,"Ni, Biao; You, Jian; Li, Jiangnan; Du, Yingda; Zhao, Wei; Chen, Xia","Genetic and Epigenetic Changes during the Upward Expansion of Deyeuxia angustifolia Kom. in the Alpine Tundra of the Changbai Mountains, China",PLANTS-BASEL,2021,10,291,10.3390/plants10020291
2250,Y,"Ni, Ping; Murphy, Kieran J.; Wyeth, Russell C.; Bishop, Cory D.; Li, Shiguo; Zhan, Aibin",Significant population methylation divergence and local environmental influence in an invasive ascidian Ciona intestinalis at fine geographical scales,MARINE BIOLOGY,2019,166,143,10.1007/s00227-019-3592-3
2251,N,"Ning, Yong-Qiang; Liu, Na; Lan, Ke-Ke; Su, Yin-Na; Li, Lin; Chen, She; He, Xin-Jian",DREAM complex suppresses DNA methylation maintenance genes and precludes DNA hypermethylation,NATURE PLANTS,2020,6,942-,10.1038/s41477-020-0710-7
2252,Y,"Novero, Annabelle U.; Mabras, Ma. Brigida; Esteban, Hannah Jean",Epigenetic inheritance of spine formation in sago palm (Metroxylon sagu Roettb),PLANT OMICS,2012,5,559-566,
2253,N,"Noy-Malka, Chen; Yaari, Rafael; Itzhaki, Rachel; Mosquna, Assaf; Gershovitz, Nitzan Auerbach; Katz, Aviva; Ohad, Nir",A single CMT methyltransferase homolog is involved in CHG DNA methylation and development of Physcomitrella patens,PLANT MOLECULAR BIOLOGY,2014,84,719-735,10.1007/s11103-013-0165-6
2254,N,"Nye, Taylor M.; Jacob, Kristin M.; Holley, Elena K.; Nevarez, Juan M.; Dawid, Suzanne; Simmons, Lyle A.; Watson, Michael E., Jr.",DNA methylation from a Type I restriction modification system influences gene expression and virulence in Streptococcus pyogenes,PLOS PATHOGENS,2019,15,e1007841,10.1371/journal.ppat.1007841
2255,N,"O'Dea, Rose E.; Noble, Daniel W. A.; Johnson, Sheri L.; Hesselson, Daniel; Nakagawa, Shinichi","The role of non-genetic inheritance in evolutionary rescue: epigenetic buffering, heritable bet hedging and epigenetic traps",ENVIRONMENTAL EPIGENETICS,2016,2,dvv014,10.1093/eep/dvv014
2256,N,"Ochogavia, Ana C.; Cervigni, Gerardo; Selva, Juan P.; Echenique, Viviana C.; Pessino, Silvina C.",Variation in cytosine methylation patterns during ploidy level conversions in Eragrostis curvula,PLANT MOLECULAR BIOLOGY,2009,70,17-29,10.1007/s11103-009-9454-5
2257,N,"Ohta, Tomoko","Near-Neutrality, Robustness, and Epigenetics",GENOME BIOLOGY AND EVOLUTION,2011,3,1034-1038,10.1093/gbe/evr012
2258,N,"Okada, Takashi; Singh, Mohan B.; Bhalla, Prem L.",Histone H3 variants in male gametic cells of lily and H3 methylation in mature pollen,PLANT MOLECULAR BIOLOGY,2006,62,503-512,10.1007/s11103-006-9036-8
2259,N,"Olson, Andrew; Klein, Robert R.; Dugas, Diana V.; Lu, Zhenyuan; Regulski, Michael; Klein, Patricia E.; Ware, Doreen",Expanding and Vetting Sorghum bicolor Gene Annotations through Transcriptome and Methylome Sequencing,PLANT GENOME,2014,7,,10.3835/plantgenome2013.08.0025
2260,N,"Ono, M; Swanson, JJ; Field, LM; Devonshire, AL; Siegfried, BD","Amplification and methylation of an esterase gene associated with insecticide-resistance in greenbugs, Schizaphis graminum (Rondani) (Homoptera : Aphididae)",INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,1999,29,1065-1073,10.1016/S0965-1748(99)00082-X
2261,N,"Ortega-Recalde, Oscar; Goikoetxea, Alexander; Hore, Timothy A.; Todd, Erica V.; Gemmell, Neil J.",The Genetics and Epigenetics of Sex Change in Fish,"ANNUAL REVIEW OF ANIMAL BIOSCIENCES, VOL 8, 2020",2020,8,47-69,10.1146/annurev-animal-021419-083634
2262,N,"Ortiz, Jorge G. Muniz; Shang, Junjun; Catron, Brittany; Landero, Julio; Caruso, Joseph A.; Cartwright, Iain L.",A Transgenic Drosophila Model for Arsenic Methylation Suggests a Metabolic Rationale for Differential Dose-Dependent Toxicity Endpoints,TOXICOLOGICAL SCIENCES,2011,121,303-311,10.1093/toxsci/kfr074
2263,N,"Pabst, Martin; Fischl, Richard M.; Brecker, Lothar; Morelle, Willy; Fauland, Alexander; Koefeler, Harald; Altmann, Friedrich; Leonard, Renaud",Rhamnogalacturonan II structure shows variation in the side chains monosaccharide composition and methylation status within and across different plant species,PLANT JOURNAL,2013,76,61-72,10.1111/tpj.12271
2264,Y,"Paleolog, Jerzy; Wilde, Jerzy; Siuda, Maciej; Bak, Beata; Wojcik, Lukasz; Strachecka, Aneta","Imidacloprid markedly affects hemolymph proteolysis, biomarkers, DNA global methylation, and the cuticle proteolytic layer in western honeybees",APIDOLOGIE,2020,51,620-630,10.1007/s13592-020-00747-4
2265,N,"Pankakoski, E",Epigenetic asymmetry as an ecological indicator in muskrats,JOURNAL OF MAMMALOGY,1985,66,52-57,10.2307/1380955
2266,N,"Parejo-Farnes, C.; Aparicio, A.; Albaladejo, R. G.",An approach to the ecological epigenetics in plants,ECOSISTEMAS,2019,28,69-74,10.7818/ECOS.1605
2267,N,"Parisod, Christian; Salmon, Armel; Zerjal, Tatiana; Tenaillon, Maud; Grandbastien, Marie-Angele; Ainouche, Malika",Rapid structural and epigenetic reorganization near transposable elements in hybrid and allopolyploid genomes in Spartina,NEW PHYTOLOGIST,2009,184,1003-1015,10.1111/j.1469-8137.2009.03029.x
2268,N,"Pascual, Jesus; Jesus Canal, Maria; Correia, Barbara; Escandon, Monica; Hasbun, Rodrigo; Meijon, Monica; Pinto, Gloria; Valledor, Luis",Can Epigenetics Help Forest Plants to Adapt to Climate Change?,EPIGENETICS IN PLANTS OF AGRONOMIC IMPORTANCE: FUNDAMENTALS AND APPLICATIONS: TRANSCRIPTIONAL REGULATION AND CHROMATIN REMODELLING IN PLANTS,2014,,125-146,10.1007/978-3-319-07971-4_8
2269,N,"Patzak, Josef; Henychova, Alena; Svoboda, Petr; Malirova, Ivana",Assessment of epigenetic methylation changes in hop (Humulus lupulus) plants obtained by meristem culture,CZECH JOURNAL OF GENETICS AND PLANT BREEDING,2020,56,159-164,10.17221/27/2020-CJGPB
2270,N,"Pei, Liuling; Zhang, Lin; Li, Jianying; Shen, Chao; Qiu, Ping; Tu, Lili; Zhang, Xianlong; Wang, Maojun",Tracing the origin and evolution history of methylation-related genes in plants,BMC PLANT BIOLOGY,2019,19,307,10.1186/s12870-019-1923-7
2271,N,"Pembrey, Marcus E.",Does cross-generational epigenetic inheritance contribute to cultural continuity ?,ENVIRONMENTAL EPIGENETICS,2018,4,dvy004,10.1093/eep/dvy004
2272,N,"Penny, David","Epigenetics, Darwin, and Lamarck",GENOME BIOLOGY AND EVOLUTION,2015,7,1758-1760,10.1093/gbe/evv107
2273,Y,"Perrin, Cecile; Lepesant, Julie M. J.; Roger, Emmanuel; Duval, David; Fneich, Sara; Thuillier, Virginie; Alliene, Jean-Francois; Mitta, Guillaume; Grunau, Christoph; Cosseau, Celine",Schistosoma mansoni Mucin Gene (SmPoMuc) Expression: Epigenetic Control to Shape Adaptation to a New Host,PLOS PATHOGENS,2013,9,e1003571,10.1371/journal.ppat.1003571
2274,N,"Plitta-Michalak, Beata P.; Naskret-Barciszewska, Miroslawa Z.; Barciszewski, Jan; Chmielarz, Pawel; Michalak, Marcin",Epigenetic Integrity of Orthodox Seeds Stored under Conventional and Cryogenic Conditions,FORESTS,2021,12,288,10.3390/f12030288
2275,N,"Plitta, Beata P.; Michalak, Marcin; Naskret-Barciszewska, Miroslawa Z.; Barciszewski, Jan; Chmielarz, Pawel",DNA methylation of Quercus robur L. plumules following cryo-pretreatment and cryopreservation,PLANT CELL TISSUE AND ORGAN CULTURE,2014,117,31-37,10.1007/s11240-013-0417-9
2276,N,"Pomraning, Kyle R.; Connolly, Lanelle R.; Whalen, Joseph P.; Smith, Kristina M.; Freitag, Michael","Repeat-induced Point Mutation, DNA Methylation and Heterochromatin in Gibberella zeae (Anamorph: Fusarium graminearum)","FUSARIUM: GENOMICS, MOLECULAR AND CELLULAR BIOLOGY",2013,,93-109,
2277,N,"Prendergast, James G. D.; Chambers, Emily V.; Semple, Colin A. M.",Sequence-Level Mechanisms of Human Epigenome Evolution,GENOME BIOLOGY AND EVOLUTION,2014,6,1758-1771,10.1093/gbe/evu142
2278,N,"Prols, F; Meyer, P",The methylation patterns of chromosomal integration regions influence gene activity of transferred DNA in Petunia-hybrida,PLANT JOURNAL,1992,2,465-475,10.1046/j.1365-313x.1992.t01-20-00999.x
2280,N,"Provenzano, Sofia; Spelt, Cornelis; Hosokawa, Satoko; Nakamura, Noriko; Brugliera, Filippa; Demelis, Linda; Geerke, Daan P.; Schubert, Andrea; Tanaka, Yoshikazu; Quattrocchio, Francesca; Koes, Ronald",Genetic Control and Evolution of Anthocyanin Methylation,PLANT PHYSIOLOGY,2014,165,962-977,10.1104/pp.113.234526
2281,N,"Purwanto, Ratmoyo; Hori, Kentaro; Yamada, Yasuyuki; Sato, Fumihiko",Unraveling Additional O-Methylation Steps in Benzylisoquinoline Alkaloid Biosynthesis in California Poppy (Eschscholzia californica),PLANT AND CELL PHYSIOLOGY,2017,58,1528-1540,10.1093/pcp/pcx093
2282,N,"Qin, Qinbo; Wang, Chongqing; Zhou, Yuwei; Qin, Huan; Zhao, Chun; Yang, Li; Yu, Tingting; Liu, Shaojun",Rapid Genomic and Epigenetic Alterations in Gynogenetic Carassius auratus Red Var. Derived from Distant Hybridization,MARINE BIOTECHNOLOGY,2020,22,433-442,10.1007/s10126-020-09963-6
2283,N,"Ragsdale, Gillian; Foley, Robert A.",Epigenetics and the Evolution of Human Social Cognition,EVOLUTION OF PRIMATE SOCIAL COGNITION,2018,5,163-179,10.1007/978-3-319-93776-2_11
2284,N,"Rahikainen, Moona; Trotta, Andrea; Alegre, Sara; Pascual, Jesus; Vuorinen, Katariina; Overmyer, Kirk; Moffatt, Barbara; Ravanel, Stephane; Glawischnig, Erich; Kangasjarvi, Saijaliisa",PP2A-B 'gamma modulates foliar trans-methylation capacity and the formation of 4-methoxy-indol-3-yl-methyl glucosinolate in Arabidopsis leaves,PLANT JOURNAL,2017,89,112-127,10.1111/tpj.13326
2285,N,"Rawoof, Abdul; Ahmad, Ilyas; Ramchiary, Nirala",Epigenome Landscape in Capsicum Genome,CAPSICUM GENOME,2019,,187-199,10.1007/978-3-319-97217-6_11
2286,N,"Rayner, ADM; Ramsdale, M; Watkins, ZR",Origins and significance of genetic and epigenetic instability in mycelial systems,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,1995,73,S1241-S1248,10.1139/b95-384
2287,N,"Rey, Olivier; Eizaguirre, Christophe; Angers, Bernard; Baltazar-Soares, Miguel; Sagonas, Kostas; Prunier, Jerome G.; Blanchet, Simon",Linking epigenetics and biological conservation: Towards a conservation epigenetics perspective,FUNCTIONAL ECOLOGY,2020,34,414-427,10.1111/1365-2435.13429
2288,N,"Ricci, C; Santo, N; Radaelli, E; Bolzern, AM",Epigenetic inheritance systems in bdelloid rotifers. I. Maternal-age-related biochemical effects,ITALIAN JOURNAL OF ZOOLOGY,1999,66,333-339,10.1080/11250009909356274
2289,N,"Riviere, Guillaume; Wu, Guan-Chung; Fellous, Alexandre; Goux, Didier; Sourdaine, Pascal; Favrel, Pascal",DNA Methylation Is Crucial for the Early Development in the Oyster C. gigas,MARINE BIOTECHNOLOGY,2013,15,739-753,10.1007/s10126-013-9523-2
2290,N,"Robinson, K. L.; Tohidi-Esfahani, D.; Ponton, F.; Simpson, S. J.; Sword, G. A.; Lo, N.",Alternative migratory locust phenotypes are associated with differences in the expression of genes encoding the methylation machinery,INSECT MOLECULAR BIOLOGY,2016,25,105-115,10.1111/imb.12203
2291,N,"Rodor, Julie; Jobet, Edouard; Bizarro, Jonathan; Vignols, Florence; Carles, Cristel; Suzuki, Takamasa; Nakamura, Kenzo; Echeverria, Manuel","AtNUFIP, an essential protein for plant development, reveals the impact of snoRNA gene organisation on the assembly of snoRNPs and rRNA methylation in Arabidopsis thaliana",PLANT JOURNAL,2011,65,807-819,10.1111/j.1365-313X.2010.04468.x
2292,N,"Rodrigues, JCM; Koltunow, AMG",Epigenetic aspects of sexual and asexual seed development,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,2005,47,37-49,
2293,Y,"Rodriguez-Casariego, Javier A.; Mercado-Molina, Alex E.; Garcia-Souto, Daniel; Ortiz-Rivera, Ivanna M.; Lopes, Christian; Baums, Iliana B.; Sabat, Alberto M.; Eirin-Lopez, Jose M.",Genome-Wide DNA Methylation Analysis Reveals a Conserved Epigenetic Response to Seasonal Environmental Variation in the Staghorn Coral Acropora cervicornis,FRONTIERS IN MARINE SCIENCE,2020,7,560424,10.3389/fmars.2020.560424
2294,N,"Rodriguez-Leal, Daniel; Leon-Martinez, Gloria; Abad-Vivero, Ursula; Vielle-Calzada, Jean-Philippe",Natural Variation in Epigenetic Pathways Affects the Specification of Female Gamete Precursors in Arabidopsis,PLANT CELL,2015,27,1034-1045,10.1105/tpc.114.133009
2295,N,"Rodriguez-Negrete, Edgar; Lozano-Duran, Rosa; Piedra-Aguilera, Alvaro; Cruzado, Lucia; Bejarano, Eduardo R.; Castillo, Araceli G.",Geminivirus Rep protein interferes with the plant DNA methylation machinery and suppresses transcriptional gene silencing,NEW PHYTOLOGIST,2013,199,464-475,10.1111/nph.12286
2296,Y,"Rois, Ana Sofia; Rodriguez Lopez, Carlos M.; Cortinhas, Ana; Erben, Matthias; Espirito-Santo, Dalila; Wilkinson, Michael J.; Caperta, Ana D.",Epigenetic rather than genetic factors may explain phenotypic divergence between coastal populations of diploid and tetraploid Limonium spp. (Plumbaginaceae) in Portugal,BMC PLANT BIOLOGY,2013,13,205,10.1186/1471-2229-13-205
2297,Y,"Rondon, Rodolfo; Grunau, Christoph; Fallet, Manon; Charlemagne, Nicolas; Sussarellu, Rossana; Chaparro, Cristian; Montagnani, Caroline; Mitta, Guillaume; Bachere, Evelyne; Akcha, Farida; Cosseau, Celine",Effects of a parental exposure to diuron on Pacific oyster spat methylome,ENVIRONMENTAL EPIGENETICS,2017,3,dvx004,10.1093/eep/dvx004
2298,Y,"Rothkegel, Karin; Sanchez, Evelyn; Montes, Christian; Greve, Macarena; Tapia, Sebastian; Bravo, Soraya; Prieto, Humberto; Miyasaka Almeida, Andrea",DNA methylation and small interference RNAs participate in the regulation of MADS-box genes involved in dormancy in sweet cherry (Prunus avium L.),TREE PHYSIOLOGY,2017,37,1739-1751,10.1093/treephys/tpx055
2299,Y,"Rothkegel, Karin; Sandoval, Paula; Soto, Esteban; Ulloa, Lissette; Riveros, Anibal; Lillo-Carmona, Victoria; Caceres-Molina, Javier; Almeida, Andrea Miyasaka; Meneses, Claudio",Dormant but Active: Chilling Accumulation Modulates the Epigenome and Transcriptome ofPrunus aviumDuring Bud Dormancy,FRONTIERS IN PLANT SCIENCE,2020,11,1115,10.3389/fpls.2020.01115
2300,N,"Ruzicka, Kamil; Zhang, Mi; Campilho, Ana; Bodi, Zsuzsanna; Kashif, Muhammad; Saleh, Maria; Eeckhout, Dominique; El-Showk, Sedeer; Li, Hongying; Zhong, Silin; De Jaeger, Geert; Mongan, Nigel P.; Hejatko, Jan; Helariutta, Yka; Fray, Rupert G.",Identification of factors required for m(6)A mRNA methylation in Arabidopsis reveals a role for the conserved E3 ubiquitin ligase HAKAI,NEW PHYTOLOGIST,2017,215,157-172,10.1111/nph.14586
2301,Y,"Ryu, Taewoo; Veilleux, Heather D.; Munday, Philip L.; Jung, Imgook; Donelson, Jennifer M.; Ravasi, Timothy",An Epigenetic Signature for Within-Generational Plasticity of a Reef Fish to Ocean Warming,FRONTIERS IN MARINE SCIENCE,2020,7,284,10.3389/fmars.2020.00284
2302,N,"Sabbione, Agustin; Daurelio, Lucas; Vegetti, Abelardo; Talon, Manuel; Tadeo, Francisco; Dotto, Marcela","Genome-wide analysis of AGO, DCL and RDR gene families reveals RNA-directed DNA methylation is involved in fruit abscission in Citrus sinensis",BMC PLANT BIOLOGY,2019,19,401,10.1186/s12870-019-1998-1
2305,N,"Salmon, Armel; Clotault, Jeremy; Jenczewski, Eric; Chable, Veronique; Manzanares-Dauleux, Maria J.",Brassica oleracea displays a high level of DNA methylation polymorphism,PLANT SCIENCE,2008,174,61-70,10.1016/j.plantsci.2007.09.012
2306,N,"Samarth; Kelly, Dave; Turnbull, Matthew H.; Jameson, Paula E.",Molecular control of masting: an introduction to an epigenetic summer memory,ANNALS OF BOTANY,2020,125,851-858,10.1093/aob/mcaa004
2307,N,"Sanchez-Martin, Francisco Javier; Lindquist, Diana M.; Landero-Figueroa, Julio; Zhang, Xiang; Chen, Jing; Cecil, Kim M.; Medvedovic, Mario; Puga, Alvaro",Sex- and tissue-specific methylome changes in brains of mice perinatally exposed to lead,NEUROTOXICOLOGY,2015,46,92-100,10.1016/j.neuro.2014.12.004
2308,N,"Sanders, Dean; Qian, Shuiming; Fieweger, Rachael; Lu, Li; Dowell, James A.; Denu, John M.; Zhong, Xuehua",Histone Lysine-to-Methionine Mutations Reduce Histone Methylation and Cause Developmental Pleiotropy,PLANT PHYSIOLOGY,2017,173,2243-2252,10.1104/pp.16.01499
2309,Y,"Sarma, Roshmi R.; Edwards, Richard J.; Crino, Ondi L.; Eyck, Harrison J. F.; Waters, Paul D.; Crossland, Michael R.; Shine, Richard; Rollins, Lee A.",Do Epigenetic Changes Drive Corticosterone Responses to Alarm Cues in Larvae of an Invasive Amphibian?,INTEGRATIVE AND COMPARATIVE BIOLOGY,2020,60,1481-1494,10.1093/icb/icaa082
2310,N,"Sasaki, Taku; Kobayashi, Akie; Saze, Hidetoshi; Kakutani, Tetsuji",RNAi-independent de novo DNA methylation revealed in Arabidopsis mutants of chromatin remodeling gene DDM1,PLANT JOURNAL,2012,70,750-758,10.1111/j.1365-313X.2012.04911.x
2311,N,"Schellenbaum, Paul; Mohler, Volker; Wenzel, Gerhard; Walter, Bernard",Variation in DNA methylation patterns of grapevine somaclones (Vitis vinifera L.),BMC PLANT BIOLOGY,2008,8,78,10.1186/1471-2229-8-78
2312,N,"Schrey, Aaron W.; Alvarez, Mariano; Foust, Christy M.; Kilvitis, Holly J.; Lee, Jacob D.; Liebl, Andrea L.; Martin, Lynn B.; Richards, Christina L.; Robertson, Marta",Ecological Epigenetics: Beyond MS-AFLP,INTEGRATIVE AND COMPARATIVE BIOLOGY,2013,53,340-350,10.1093/icb/ict012
2313,N,"Schrey, Aaron W.; Banta, Joshua; Kilvitis, Holly J.; Richards, Christina L.",THE ROLE OF ECOLOGICAL EPIGENETICS IN INTEGRATIVE BIOLOGY,INTEGRATIVE ORGANISMAL BIOLOGY,2015,,109-118,10.1002/9781118398814.ch7
2314,Y,"Schrey, Aaron W.; Robbins, Travis R.; Lee, Jacob; Dukes, David W., Jr.; Ragsdale, Alexandria K.; Thawley, Christopher J.; Langkilde, Tracy",Epigenetic response to environmental change: DNA methylation varies with invasion status,ENVIRONMENTAL EPIGENETICS,2016,2,dvw008,10.1093/eep/dvw008
2315,N,"Schroder, G; Wehinger, E; Lukacin, R; Wellmann, F; Seefelder, W; Schwab, W; Schroder, J","Flavonoid methylation: a novel 4 '-O-methyltransferase from Catharanthus roseus, and evidence that partially methylated flavanones are substrates of four different flavonoid dioxygenases",PHYTOCHEMISTRY,2004,65,1085-1094,10.1016/j.phytochem.2004.02.010
2316,N,"Schwichtenberg, Katrin; Wenke, Torsten; Zakrzewski, Falk; Seibt, Kathrin M.; Minoche, Andre; Dohm, Juliane C.; Weisshaar, Bernd; Himmelbauer, Heinz; Schmidt, Thomas","Diversification, evolution and methylation of short interspersed nuclear element families in sugar beet and related Amaranthaceae species",PLANT JOURNAL,2016,85,229-244,10.1111/tpj.13103
2317,N,"Schwope, Rachel M.; Chalker, Douglas L.",Mutations in Pdd1 Reveal Distinct Requirements for Its Chromodomain and Chromoshadow Domain in Directing Histone Methylation and Heterochromatin Elimination,EUKARYOTIC CELL,2014,13,190-201,10.1128/EC.00219-13
2318,N,"Scott, Bobby R.; Belinsky, Steven A.; Leng, Shuguang; Lin, Yong; Wilder, Julie A.; Damiani, Leah A.",Radiation-stimulation epigenetic reprogramming of adaptive-response genes in the lung: An evolutionary gift for mounting adaptive protection against lung cancer,DOSE-RESPONSE,2009,7,104-131,10.2203/dose-response.08-016.Scott
2319,N,"Scoville, Alison G.; Barnett, Laryssa L.; Bodbyl-Roels, Sarah; Kelly, John K.; Hileman, Lena C.",Differential regulation of a MYB transcription factor is correlated with transgenerational epigenetic inheritance of trichome density in Mimulus guttatus,NEW PHYTOLOGIST,2011,191,251-263,10.1111/j.1469-8137.2011.03656.x
2321,N,"Shaked, H; Kashkush, K; Ozkan, H; Feldman, M; Levy, AA",Sequence elimination and cytosine methylation are rapid and reproducible responses of the genome to wide hybridization and allopolyploidy in wheat,PLANT CELL,2001,13,1749-1759,10.1105/TPC.010083
2322,N,"Shell, Scarlet S.; Prestwich, Erin G.; Baek, Seung-Hun; Shah, Rupal R.; Sassetti, Christopher M.; Dedon, Peter C.; Fortune, Sarah M.",DNA Methylation Impacts Gene Expression and Ensures Hypoxic Survival of Mycobacterium tuberculosis,PLOS PATHOGENS,2013,9,e1003419,10.1371/journal.ppat.1003419
2323,N,"Shi, Yuan-Yuan; Liu, Hao; Qiu, Ya-Feng; Ma, Zhi-Yong; Zeng, Zhi-Jiang",DNA methylation comparison between 4-day-old queen and worker larvae of honey bee,JOURNAL OF ASIA-PACIFIC ENTOMOLOGY,2017,20,299-303,10.1016/j.aspen.2017.01.014
2324,N,"Shilo, Shay; Melamed-Bessudo, Cathy; Dorone, Yanniv; Barkai, Naama; Levy, Avraham A.",DNA Crossover Motifs Associated with Epigenetic Modifications Delineate Open Chromatin Regions in Arabidopsis,PLANT CELL,2015,27,2427-2436,10.1105/tpc.15.00391
2325,N,"Shitsukawa, Naoki; Tahira, Chikako; Kassai, Ken-ichiro; Hirabayashi, Chizuru; Shimizu, Tomoaki; Takumi, Shigeo; Mochida, Keiichi; Kawaura, Kanako; Ogihara, Yasunari; Murai, Koji",Genetic and epigenetic alteration among three homoeologous genes of a class E MADS box gene in hexaploid wheat,PLANT CELL,2007,19,1723-1737,10.1105/tpc.107.051813
2326,N,"Simo-Mirabet, Paula; Perera, Erick; Calduch-Giner, Josep Alvar; Perez-Sanchez, Jaume",Local DNA methylation helps to regulate muscle sirtuin 1 gene expression across seasons and advancing age in gilthead sea bream (Sparus aurata),FRONTIERS IN ZOOLOGY,2020,17,15,10.1186/s12983-020-00361-1
2327,N,"Sizmur, Tom; Canario, Joao; Edmonds, Samuel; Godfrey, Adam; O'Driscoll, Nelson J.",The polychaete worm Nereis diversicolor increases mercury lability and methylation in intertidal mudflats,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,2013,32,1888-1895,10.1002/etc.2264
2328,N,"Skinner, Michael K.",Environmental Epigenetics and a Unified Theory of the Molecular Aspects of Evolution: A Neo-Lamarckian Concept that Facilitates Neo-Darwinian Evolution,GENOME BIOLOGY AND EVOLUTION,2015,7,1296-1302,10.1093/gbe/evv073
2329,Y,"Skinner, Michael K.; Gurerrero-Bosagna, Carlos; Haque, M. Muksitul; Nilsson, Eric E.; Koop, Jennifer A. H.; Knutie, Sarah A.; Clayton, Dale H.",Epigenetics and the Evolution of Darwin's Finches,GENOME BIOLOGY AND EVOLUTION,2014,6,1972-1989,10.1093/gbe/evu158
2330,N,"Skjaerven, Kaja H.; Hamre, Kristin; Penglase, Samuel; Finn, Roderick Nigel; Olsvik, Pal A.",Thermal stress alters expression of genes involved in one carbon and DNA methylation pathways in Atlantic cod embryos,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,2014,173,17-27,10.1016/j.cbpa.2014.03.003
2331,N,"Smith, Chelsea M.; Vera, Madeline K. M.; Bhandari, Ramji K.",Developmental and epigenetic effects of Roundup and glyphosate exposure on Japanese medaka (Oryzias latipes),AQUATIC TOXICOLOGY,2019,210,215-226,10.1016/j.aquatox.2019.03.005
2332,N,"Smykal, P.; Valledor, L.; Rodriguez, R.; Griga, M.",Assessment of genetic and epigenetic stability in long-term in vitro shoot culture of pea (Pisum sativum L.),PLANT CELL REPORTS,2007,26,1985-1998,10.1007/s00299-007-0413-9
2333,N,"Sommaggio, Daniele; Fusco, Giuseppe; Uliana, Marco; Minelli, Alessandro",Possible Epigenetic Origin of a Recurrent Gynandromorph Pattern in Megachile Wild Bees,INSECTS,2021,12,437,10.3390/insects12050437
